"lon","lat","city","city_state"
NA,NA,"LIVINGSTON","LIVINGSTON, CA"
NA,NA,"SACRAMENTO","SACRAMENTO, CA"
NA,NA,"ALISO VIEJO","ALISO VIEJO, CA"
NA,NA,"CARLSBAD","CARLSBAD, CA"
NA,NA,"SAN DIEGO","SAN DIEGO, CA"
NA,NA,"KNIGHTSEN","KNIGHTSEN, CA"
NA,NA,"PALOS VERDES ESTATES","PALOS VERDES ESTATES, CA"
NA,NA,"CAMARILLO","CAMARILLO, CA"
NA,NA,"SANTA ANA","SANTA ANA, CA"
NA,NA,"CHATSWORTH","CHATSWORTH, CA"
NA,NA,"AUBURN","AUBURN, CA"
NA,NA,"SAN LEANDRO","SAN LEANDRO, CA"
NA,NA,"ANAHEIM","ANAHEIM, CA"
NA,NA,"MARIPOSA, CA 95338","MARIPOSA, CA 95338, CA"
NA,NA,"LOS ANGELES","LOS ANGELES, CA"
NA,NA,"FRESNO","FRESNO, CA"
NA,NA,"WALNUT CREEK","WALNUT CREEK, CA"
NA,NA,"SAN FRANCISCO","SAN FRANCISCO, CA"
NA,NA,"ROCKLIN","ROCKLIN, CA"
NA,NA,"LAGUNA NIGUEL","LAGUNA NIGUEL, CA"
NA,NA,"SAN JOSE","SAN JOSE, CA"
NA,NA,"POMONA","POMONA, CA"
NA,NA,"PORTER RANCH","PORTER RANCH, CA"
NA,NA,"PENN VALLEY","PENN VALLEY, CA"
NA,NA,"MAGALIA","MAGALIA, CA"
NA,NA,"ROSEVILLE","ROSEVILLE, CA"
NA,NA,"ALAMEDA","ALAMEDA, CA"
NA,NA,"HEMET","HEMET, CA"
NA,NA,"SOUTH PASADENA","SOUTH PASADENA, CA"
NA,NA,"OROVILLE","OROVILLE, CA"
NA,NA,"CARMICHAEL","CARMICHAEL, CA"
NA,NA,"HUNTINGTON BEACH","HUNTINGTON BEACH, CA"
NA,NA,"TUSTIN","TUSTIN, CA"
NA,NA,"CERES","CERES, CA"
NA,NA,"ALTADENA","ALTADENA, CA"
NA,NA,"CHICAGO PARK","CHICAGO PARK, CA"
NA,NA,"GOLD RIVER","GOLD RIVER, CA"
NA,NA,"CRESCENT CITY","CRESCENT CITY, CA"
NA,NA,"CASTAIC","CASTAIC, CA"
NA,NA,"RANCHO PALOS VERDES","RANCHO PALOS VERDES, CA"
NA,NA,"PALM DESERT","PALM DESERT, CA"
NA,NA,"YUCAIPA","YUCAIPA, CA"
NA,NA,"MOUNTAIN VIEW","MOUNTAIN VIEW, CA"
NA,NA,"HOLLISTER","HOLLISTER, CA"
NA,NA,"TURLOCK","TURLOCK, CA"
NA,NA,"MORENO VALLEY","MORENO VALLEY, CA"
NA,NA,"SAN MARCOS","SAN MARCOS, CA"
NA,NA,"PASADENA","PASADENA, CA"
NA,NA,"RANCHO MIRAGE","RANCHO MIRAGE, CA"
NA,NA,"REDONDO BEACH","REDONDO BEACH, CA"
NA,NA,"ORANGE","ORANGE, CA"
NA,NA,"GLENDALE","GLENDALE, CA"
NA,NA,"IRVINE","IRVINE, CA"
NA,NA,"MORAGA","MORAGA, CA"
NA,NA,"ONTARIO","ONTARIO, CA"
NA,NA,"INDIAN WELLS","INDIAN WELLS, CA"
NA,NA,"WEST HILLS","WEST HILLS, CA"
NA,NA,"ALAMO","ALAMO, CA"
NA,NA,"BUENA PARK","BUENA PARK, CA"
NA,NA,"NAPA","NAPA, CA"
NA,NA,"GILROY","GILROY, CA"
NA,NA,"OAKLAND","OAKLAND, CA"
NA,NA,"MONTEREY","MONTEREY, CA"
NA,NA,"LONG BEACH","LONG BEACH, CA"
NA,NA,"WESTLAKE VILLAGE","WESTLAKE VILLAGE, CA"
NA,NA,"MODESTO","MODESTO, CA"
NA,NA,"UPLAND","UPLAND, CA"
NA,NA,"SUNNYVALE","SUNNYVALE, CA"
NA,NA,"NEWPORT BEACH","NEWPORT BEACH, CA"
NA,NA,"REDDING","REDDING, CA"
NA,NA,"FULLERTON","FULLERTON, CA"
NA,NA,"SANTA CRUZ","SANTA CRUZ, CA"
NA,NA,"CARMEL","CARMEL, CA"
NA,NA,"GROVELAND","GROVELAND, CA"
NA,NA,"PLEASANTON","PLEASANTON, CA"
NA,NA,"VISALIA","VISALIA, CA"
NA,NA,"RIVERSIDE","RIVERSIDE, CA"
NA,NA,"REDLANDS","REDLANDS, CA"
NA,NA,"BAKERSFIELD","BAKERSFIELD, CA"
NA,NA,"SYLMAR","SYLMAR, CA"
NA,NA,"SUN CITY","SUN CITY, CA"
NA,NA,"WEAVERVILLE","WEAVERVILLE, CA"
NA,NA,"CORONA","CORONA, CA"
NA,NA,"CULVER CITY","CULVER CITY, CA"
NA,NA,"FALLBROOK","FALLBROOK, CA"
NA,NA,"CORONADO","CORONADO, CA"
NA,NA,"NEWBURY PARK","NEWBURY PARK, CA"
NA,NA,"PORT HUENEME","PORT HUENEME, CA"
NA,NA,"EASTVALE","EASTVALE, CA"
NA,NA,"ARROYO GRANDE","ARROYO GRANDE, CA"
NA,NA,"SIMI VALLEY","SIMI VALLEY, CA"
NA,NA,"SUNLAND","SUNLAND, CA"
NA,NA,"WEST COVINA","WEST COVINA, CA"
NA,NA,"DPO","DPO, CA"
NA,NA,"LA MESA","LA MESA, CA"
NA,NA,"STOCKTON","STOCKTON, CA"
NA,NA,"CANYON COUNTRY","CANYON COUNTRY, CA"
NA,NA,"MILL VALLEY","MILL VALLEY, CA"
NA,NA,"COTO DE CAZA","COTO DE CAZA, CA"
NA,NA,"CALIFORNIA CITY","CALIFORNIA CITY, CA"
NA,NA,"SANTA MONICA","SANTA MONICA, CA"
NA,NA,"HIGHLAND","HIGHLAND, CA"
NA,NA,"BRENTWOOD","BRENTWOOD, CA"
NA,NA,"MORGAN HILL","MORGAN HILL, CA"
NA,NA,"LA HABRA","LA HABRA, CA"
NA,NA,"SANTA BARBARA","SANTA BARBARA, CA"
NA,NA,"NEWHALL","NEWHALL, CA"
NA,NA,"KENSINGTON","KENSINGTON, CA"
NA,NA,"CHINO HILLS","CHINO HILLS, CA"
NA,NA,"WHITTIER","WHITTIER, CA"
NA,NA,"SANTA ROSA","SANTA ROSA, CA"
NA,NA,"ARCADIA","ARCADIA, CA"
NA,NA,"SOUTH LAKE TAHOE","SOUTH LAKE TAHOE, CA"
NA,NA,"BURBANK","BURBANK, CA"
NA,NA,"LOS GATOS","LOS GATOS, CA"
NA,NA,"VAN NUYS","VAN NUYS, CA"
NA,NA,"POWAY","POWAY, CA"
NA,NA,"DALY CITY","DALY CITY, CA"
NA,NA,"LADERA RANCH","LADERA RANCH, CA"
NA,NA,"NORTH HOLLYWOOD","NORTH HOLLYWOOD, CA"
NA,NA,"VALENCIA","VALENCIA, CA"
NA,NA,"GLENDALE, CA","GLENDALE, CA, CA"
NA,NA,"GRANITE BAY","GRANITE BAY, CA"
NA,NA,"SAN LUIS OBISPO","SAN LUIS OBISPO, CA"
NA,NA,"BEVERLY HILLS","BEVERLY HILLS, CA"
NA,NA,"OXNARD","OXNARD, CA"
NA,NA,"OCEANSIDE","OCEANSIDE, CA"
NA,NA,"SAN FERNANDO","SAN FERNANDO, CA"
NA,NA,"FORT BRAGG","FORT BRAGG, CA"
NA,NA,"BIGGS","BIGGS, CA"
NA,NA,"DAVIS","DAVIS, CA"
NA,NA,"ELK GROVE","ELK GROVE, CA"
NA,NA,"DOWNEY","DOWNEY, CA"
NA,NA,"APPLE VALLEY","APPLE VALLEY, CA"
NA,NA,"MENIFEE","MENIFEE, CA"
NA,NA,"MANHATTAN BEACH","MANHATTAN BEACH, CA"
NA,NA,"VALLEJO","VALLEJO, CA"
NA,NA,"SALINAS","SALINAS, CA"
NA,NA,"CAMPBELL","CAMPBELL, CA"
NA,NA,"FOUNTAIN VALLEY","FOUNTAIN VALLEY, CA"
NA,NA,"PLEASANT HILL","PLEASANT HILL, CA"
NA,NA,"TRACY","TRACY, CA"
NA,NA,"NIPOMO","NIPOMO, CA"
NA,NA,"WESTMINSTER","WESTMINSTER, CA"
NA,NA,"WEST HOLLYWOOD","WEST HOLLYWOOD, CA"
NA,NA,"MISSION VIEJO","MISSION VIEJO, CA"
NA,NA,"CLAREMONT","CLAREMONT, CA"
NA,NA,"GLENDORA","GLENDORA, CA"
NA,NA,"SAN ANSELMO","SAN ANSELMO, CA"
NA,NA,"SHERMAN OAKS","SHERMAN OAKS, CA"
NA,NA,"SAN JUAN CAPISTRANO","SAN JUAN CAPISTRANO, CA"
NA,NA,"LA VERNE","LA VERNE, CA"
NA,NA,"REDWOOD CITY","REDWOOD CITY, CA"
NA,NA,"LA QUINTA","LA QUINTA, CA"
NA,NA,"TULARE","TULARE, CA"
NA,NA,"ESCALON","ESCALON, CA"
NA,NA,"CORONA DEL MAR","CORONA DEL MAR, CA"
NA,NA,"HANFORD","HANFORD, CA"
NA,NA,"ORINDA","ORINDA, CA"
NA,NA,"AMERICAN CANYON","AMERICAN CANYON, CA"
NA,NA,"NEWPORT COAST","NEWPORT COAST, CA"
NA,NA,"SARATOGA","SARATOGA, CA"
NA,NA,"LIVERMORE","LIVERMORE, CA"
NA,NA,"WILLOW CREEK","WILLOW CREEK, CA"
NA,NA,"EL DORADO HILLS","EL DORADO HILLS, CA"
NA,NA,"ANTELOPE","ANTELOPE, CA"
NA,NA,"CHULA VISTA","CHULA VISTA, CA"
NA,NA,"RANCHO CORDOVA","RANCHO CORDOVA, CA"
NA,NA,"CASTRO VALLEY","CASTRO VALLEY, CA"
NA,NA,"SAN CLEMENTE","SAN CLEMENTE, CA"
NA,NA,"IDYLLWILD","IDYLLWILD, CA"
NA,NA,"SHINGLE SPRINGS","SHINGLE SPRINGS, CA"
NA,NA,"MILPITAS","MILPITAS, CA"
NA,NA,"TEMECULA","TEMECULA, CA"
NA,NA,"EAST PALO ALTO","EAST PALO ALTO, CA"
NA,NA,"BIG BEAR LAKE","BIG BEAR LAKE, CA"
NA,NA,"GARDENA","GARDENA, CA"
NA,NA,"BONITA","BONITA, CA"
NA,NA,"FOWLER","FOWLER, CA"
NA,NA,"VICTORVILLE","VICTORVILLE, CA"
NA,NA,"FAIR OAKS","FAIR OAKS, CA"
NA,NA,"SANTA MARIA","SANTA MARIA, CA"
NA,NA,"RIDGECREST","RIDGECREST, CA"
NA,NA,"YORBA LINDA","YORBA LINDA, CA"
NA,NA,"TAHOE CITY","TAHOE CITY, CA"
NA,NA,"PACIFIC GROVE","PACIFIC GROVE, CA"
NA,NA,"ACTON","ACTON, CA"
NA,NA,"NORTH TUSTIN","NORTH TUSTIN, CA"
NA,NA,"NATIONAL CITY","NATIONAL CITY, CA"
NA,NA,"FONTANA","FONTANA, CA"
NA,NA,"ENCINITAS","ENCINITAS, CA"
NA,NA,"ESCONDIDO","ESCONDIDO, CA"
NA,NA,"TEMPLE CITY","TEMPLE CITY, CA"
NA,NA,"PALM SPRINGS","PALM SPRINGS, CA"
NA,NA,"BELL CANYON","BELL CANYON, CA"
NA,NA,"UKIAH","UKIAH, CA"
NA,NA,"COLUMBIA","COLUMBIA, CA"
NA,NA,"KERMAN","KERMAN, CA"
NA,NA,"EL CAJON","EL CAJON, CA"
NA,NA,"MALIBU","MALIBU, CA"
NA,NA,"DANA POINT","DANA POINT, CA"
NA,NA,"PALO ALTO","PALO ALTO, CA"
NA,NA,"WILTON","WILTON, CA"
NA,NA,"SAN MATEO","SAN MATEO, CA"
NA,NA,"LEMOORE","LEMOORE, CA"
NA,NA,"VENTURA","VENTURA, CA"
NA,NA,"CALIMESA","CALIMESA, CA"
NA,NA,"APTOS","APTOS, CA"
NA,NA,"NOVATO","NOVATO, CA"
NA,NA,"POTRERO","POTRERO, CA"
NA,NA,"SEASIDE","SEASIDE, CA"
NA,NA,"SPRING VALLEY","SPRING VALLEY, CA"
NA,NA,"HAWTHORNE","HAWTHORNE, CA"
NA,NA,"LAKEWOOD","LAKEWOOD, CA"
NA,NA,"PASO ROBLES","PASO ROBLES, CA"
NA,NA,"PICO RIVERA","PICO RIVERA, CA"
NA,NA,"WILDOMAR","WILDOMAR, CA"
NA,NA,"SANTA CLARITA","SANTA CLARITA, CA"
NA,NA,"EL SEGUNDO","EL SEGUNDO, CA"
NA,NA,"INDIO","INDIO, CA"
NA,NA,"STUDIO CITY","STUDIO CITY, CA"
NA,NA,"BARSTOW","BARSTOW, CA"
NA,NA,"SAN GABRIEL","SAN GABRIEL, CA"
NA,NA,"TARZANA","TARZANA, CA"
NA,NA,"MURRIETA","MURRIETA, CA"
NA,NA,"SAN BERNARDINO","SAN BERNARDINO, CA"
NA,NA,"ROSSMOOR","ROSSMOOR, CA"
NA,NA,"ACAMPO","ACAMPO, CA"
NA,NA,"LA","LA, CA"
NA,NA,"PACIFIC PALISADES","PACIFIC PALISADES, CA"
NA,NA,"LAGUNA HILLS","LAGUNA HILLS, CA"
NA,NA,"DANVILLE","DANVILLE, CA"
NA,NA,"BANNING","BANNING, CA"
NA,NA,"IGO","IGO, CA"
NA,NA,"OAKLEY","OAKLEY, CA"
NA,NA,"ORANGEVALE","ORANGEVALE, CA"
NA,NA,"LODI","LODI, CA"
NA,NA,"UNION CITY","UNION CITY, CA"
NA,NA,"HARBOR CITY","HARBOR CITY, CA"
NA,NA,"PLACERVILLE","PLACERVILLE, CA"
NA,NA,"DENAIR","DENAIR, CA"
NA,NA,"VACAVILLE","VACAVILLE, CA"
NA,NA,"SAUSALITO","SAUSALITO, CA"
NA,NA,"VINA","VINA, CA"
NA,NA,"BONSALL","BONSALL, CA"
NA,NA,"GRANADA HILLS","GRANADA HILLS, CA"
NA,NA,"LA JOLLA","LA JOLLA, CA"
NA,NA,"RANCHO SANTA FE","RANCHO SANTA FE, CA"
NA,NA,"AVILA BEACH","AVILA BEACH, CA"
NA,NA,"LAKE FOREST","LAKE FOREST, CA"
NA,NA,"VALLEY GLEN","VALLEY GLEN, CA"
NA,NA,"WALNUT GROVE","WALNUT GROVE, CA"
NA,NA,"LAKESIDE","LAKESIDE, CA"
NA,NA,"PITTSBURG","PITTSBURG, CA"
NA,NA,"SAN RAMON","SAN RAMON, CA"
NA,NA,"YUBA CITY","YUBA CITY, CA"
NA,NA,"LANCASTER","LANCASTER, CA"
NA,NA,"NORTHRIDGE","NORTHRIDGE, CA"
NA,NA,"HESPERIA","HESPERIA, CA"
NA,NA,"GASQUET","GASQUET, CA"
NA,NA,"CATHEDRAL CITY","CATHEDRAL CITY, CA"
NA,NA,"DESERT HOT SPRINGS","DESERT HOT SPRINGS, CA"
NA,NA,"CRESTLINE","CRESTLINE, CA"
NA,NA,"OAK PARK","OAK PARK, CA"
NA,NA,"LE GRAND","LE GRAND, CA"
NA,NA,"TORRANCE","TORRANCE, CA"
NA,NA,"MONARCH BEACH","MONARCH BEACH, CA"
NA,NA,"BLOOMINGTON","BLOOMINGTON, CA"
NA,NA,"SANTA CLARA","SANTA CLARA, CA"
NA,NA,"MAYWOOD","MAYWOOD, CA"
NA,NA,"LOS ALAMITOS","LOS ALAMITOS, CA"
NA,NA,"SAN BRUNO","SAN BRUNO, CA"
NA,NA,"PALO CEDRO","PALO CEDRO, CA"
NA,NA,"STANFORD","STANFORD, CA"
NA,NA,"MADERA","MADERA, CA"
NA,NA,"MENLO PARK","MENLO PARK, CA"
NA,NA,"CHINO","CHINO, CA"
NA,NA,"RANCHO CUCAMONGA","RANCHO CUCAMONGA, CA"
NA,NA,"COSTA MESA","COSTA MESA, CA"
NA,NA,"MERCED","MERCED, CA"
NA,NA,"PLACENTIA","PLACENTIA, CA"
NA,NA,"COVINA","COVINA, CA"
NA,NA,"PETALUMA","PETALUMA, CA"
NA,NA,"ANTIOCH","ANTIOCH, CA"
NA,NA,"LOCKEFORD","LOCKEFORD, CA"
NA,NA,"LAGUNA BEACH","LAGUNA BEACH, CA"
NA,NA,"VALLEY CENTER","VALLEY CENTER, CA"
NA,NA,"MISSION HILLS","MISSION HILLS, CA"
NA,NA,"NEWBURYPORT PARK","NEWBURYPORT PARK, CA"
NA,NA,"CUPERTINO","CUPERTINO, CA"
NA,NA,"PERRIS","PERRIS, CA"
NA,NA,"TRABUCO CANYON","TRABUCO CANYON, CA"
NA,NA,"FOLSOM","FOLSOM, CA"
NA,NA,"LINCOLN","LINCOLN, CA"
NA,NA,"WESTCHESTER","WESTCHESTER, CA"
NA,NA,"LA MIRADA","LA MIRADA, CA"
NA,NA,"HERCULES","HERCULES, CA"
NA,NA,"SLOUGHHOUSE","SLOUGHHOUSE, CA"
NA,NA,"ATHERTON","ATHERTON, CA"
NA,NA,"SANTA ROSA VALLEY","SANTA ROSA VALLEY, CA"
NA,NA,"LAGUNA WOODS","LAGUNA WOODS, CA"
NA,NA,"FREMONT","FREMONT, CA"
NA,NA,"PIEDMONT","PIEDMONT, CA"
NA,NA,"PALMDALE","PALMDALE, CA"
NA,NA,"LAKE ELSINORE","LAKE ELSINORE, CA"
NA,NA,"RESTON","RESTON, CA"
NA,NA,"EUREKA","EUREKA, CA"
NA,NA,"STANTON","STANTON, CA"
NA,NA,"WOODBRIDGE","WOODBRIDGE, CA"
NA,NA,"GLENNVILLE","GLENNVILLE, CA"
NA,NA,"CLOVIS","CLOVIS, CA"
NA,NA,"FRIANT","FRIANT, CA"
NA,NA,"VALLEY VILLAGE","VALLEY VILLAGE, CA"
NA,NA,"FIDDLETOWN","FIDDLETOWN, CA"
NA,NA,"PLEASANT GROVE","PLEASANT GROVE, CA"
NA,NA,"ANAHEIM HILLS","ANAHEIM HILLS, CA"
NA,NA,"VISTA","VISTA, CA"
NA,NA,"CONCORD","CONCORD, CA"
NA,NA,"SAN CLEMENTNE","SAN CLEMENTNE, CA"
NA,NA,"NEEDLES","NEEDLES, CA"
NA,NA,"DISCOVERY BAY","DISCOVERY BAY, CA"
NA,NA,"YUCCA VALLEY","YUCCA VALLEY, CA"
NA,NA,"ROBBERY PARK","ROBBERY PARK, CA"
NA,NA,"RSM","RSM, CA"
NA,NA,"CANYON LAKE","CANYON LAKE, CA"
NA,NA,"PARADISE","PARADISE, CA"
NA,NA,"CARPINTERIA","CARPINTERIA, CA"
NA,NA,"THOUSAND OAKS","THOUSAND OAKS, CA"
NA,NA,"TAFT","TAFT, CA"
NA,NA,"GRAND TERRACE","GRAND TERRACE, CA"
NA,NA,"LA PALMA","LA PALMA, CA"
NA,NA,"ROSEMEAD","ROSEMEAD, CA"
NA,NA,"SAN JACINTO","SAN JACINTO, CA"
NA,NA,"SEAL BEACH","SEAL BEACH, CA"
NA,NA,"BELMONT","BELMONT, CA"
NA,NA,"FORT JONES","FORT JONES, CA"
NA,NA,"WINDSOR","WINDSOR, CA"
NA,NA,"CUPERTIMO","CUPERTIMO, CA"
NA,NA,"CYPRESS","CYPRESS, CA"
NA,NA,"WATERFORD","WATERFORD, CA"
NA,NA,"FAWNSKIN","FAWNSKIN, CA"
NA,NA,"HEALDSBURG","HEALDSBURG, CA"
NA,NA,"SANTEE","SANTEE, CA"
NA,NA,"MANTECA","MANTECA, CA"
NA,NA,"BURLINGAME","BURLINGAME, CA"
NA,NA,"COLMA","COLMA, CA"
NA,NA,"RAMONA","RAMONA, CA"
NA,NA,"DIAMOND BAR","DIAMOND BAR, CA"
NA,NA,"WOODLAND HILLS","WOODLAND HILLS, CA"
NA,NA,"GOLETA","GOLETA, CA"
NA,NA,"ATASCADERO","ATASCADERO, CA"
NA,NA,"SOLVANG","SOLVANG, CA"
NA,NA,"LOVKEFORD","LOVKEFORD, CA"
NA,NA,"HACIENDA HEIGHTS","HACIENDA HEIGHTS, CA"
NA,NA,"ANDERSON","ANDERSON, CA"
NA,NA,"DUBLIN","DUBLIN, CA"
NA,NA,"SONORA","SONORA, CA"
NA,NA,"TIBURON","TIBURON, CA"
NA,NA,"WOODSIDE","WOODSIDE, CA"
NA,NA,"RIVERDALE","RIVERDALE, CA"
NA,NA,"CAPISTRANO BEACH","CAPISTRANO BEACH, CA"
NA,NA,"LOS MOLINOS","LOS MOLINOS, CA"
NA,NA,"WALNUT","WALNUT, CA"
NA,NA,"KENWOOD","KENWOOD, CA"
NA,NA,"RED BLUFF","RED BLUFF, CA"
NA,NA,"ATWATER","ATWATER, CA"
NA,NA,"FORTUNA","FORTUNA, CA"
NA,NA,"BERKELEY","BERKELEY, CA"
NA,NA,"DESCANSO","DESCANSO, CA"
NA,NA,"SAN FRNACISCO","SAN FRNACISCO, CA"
NA,NA,"BISHOP","BISHOP, CA"
NA,NA,"CAPITOLA","CAPITOLA, CA"
NA,NA,"MOORPARK","MOORPARK, CA"
NA,NA,"DUNSMUIR","DUNSMUIR, CA"
NA,NA,"FRENCH CAMP","FRENCH CAMP, CA"
NA,NA,"SOLANA BEACH","SOLANA BEACH, CA"
NA,NA,"CERRITOS","CERRITOS, CA"
NA,NA,"EL SOBRANTE","EL SOBRANTE, CA"
NA,NA,"TRUCKEE","TRUCKEE, CA"
NA,NA,"LOS ALTOS","LOS ALTOS, CA"
NA,NA,"LOS ALAMITOD","LOS ALAMITOD, CA"
NA,NA,"CITRUS HEIGHTS","CITRUS HEIGHTS, CA"
NA,NA,"HOLTVILLE","HOLTVILLE, CA"
NA,NA,"HIDDEN HILLS","HIDDEN HILLS, CA"
NA,NA,"DEL REY","DEL REY, CA"
NA,NA,"SAN DIMAS","SAN DIMAS, CA"
NA,NA,"WINCHESTER","WINCHESTER, CA"
NA,NA,"MONTEREY PARK","MONTEREY PARK, CA"
NA,NA,"FAIRFIELD","FAIRFIELD, CA"
NA,NA,"PARAMOUNT","PARAMOUNT, CA"
NA,NA,"NEWPORT BEACHG","NEWPORT BEACHG, CA"
NA,NA,"BEVERLY","BEVERLY, CA"
NA,NA,"DOS PALOS","DOS PALOS, CA"
NA,NA,"CAMERON PARK","CAMERON PARK, CA"
NA,NA,"DINUBA","DINUBA, CA"
NA,NA,"MENLO PARIK","MENLO PARIK, CA"
NA,NA,"MONROVIA","MONROVIA, CA"
NA,NA,"SANGER","SANGER, CA"
NA,NA,"SAN CARLOS","SAN CARLOS, CA"
NA,NA,"HILLSBOROUGH","HILLSBOROUGH, CA"
NA,NA,"PIONEER","PIONEER, CA"
NA,NA,"WATSONVILLE","WATSONVILLE, CA"
NA,NA,"MILLVILLE","MILLVILLE, CA"
NA,NA,"ALHAMBRA","ALHAMBRA, CA"
NA,NA,"PACIFICA","PACIFICA, CA"
NA,NA,"QUARTZ HILL","QUARTZ HILL, CA"
NA,NA,"SAN PEDRO","SAN PEDRO, CA"
NA,NA,"MARINA DEL REY","MARINA DEL REY, CA"
NA,NA,"YORBA LINDS","YORBA LINDS, CA"
NA,NA,"LA PUENTE","LA PUENTE, CA"
NA,NA,"ALBANY","ALBANY, CA"
NA,NA,"LAFAYETTE","LAFAYETTE, CA"
NA,NA,"GILLETTE","GILLETTE, CA"
NA,NA,"MARYSVILLE","MARYSVILLE, CA"
NA,NA,"LA QUINTTA","LA QUINTTA, CA"
NA,NA,"WILLOWS","WILLOWS, CA"
NA,NA,"MT SHASTA","MT SHASTA, CA"
NA,NA,"PEBBLE BEACH","PEBBLE BEACH, CA"
NA,NA,"CANOGA PARK","CANOGA PARK, CA"
NA,NA,"SONOMA","SONOMA, CA"
NA,NA,"ENCINO","ENCINO, CA"
NA,NA,"SAN RAFAEL","SAN RAFAEL, CA"
NA,NA,"DUARTE","DUARTE, CA"
NA,NA,"MOJAVE","MOJAVE, CA"
NA,NA,"SANTA FE SPRINGS","SANTA FE SPRINGS, CA"
NA,NA,"JOHNSON VALLEY","JOHNSON VALLEY, CA"
NA,NA,"PINE GROVE","PINE GROVE, CA"
NA,NA,"WEST SACRAMENTO","WEST SACRAMENTO, CA"
NA,NA,"SANTA MARGARITA","SANTA MARGARITA, CA"
NA,NA,"HILMAR","HILMAR, CA"
NA,NA,"SCOTTS VALLEY","SCOTTS VALLEY, CA"
