"lon","lat","city","city_state"
NA,NA,"MORRO BAYRO BAY","MORRO BAYRO BAY, CA"
NA,NA,"CALABASAS","CALABASAS, CA"
NA,NA,"PORTOLA VALLEY","PORTOLA VALLEY, CA"
NA,NA,"ARCATA","ARCATA, CA"
NA,NA,"FREEDOM","FREEDOM, CA"
NA,NA,"HAYWARD","HAYWARD, CA"
NA,NA,"COROND DEL MAR","COROND DEL MAR, CA"
NA,NA,"GREENVIEW","GREENVIEW, CA"
NA,NA,"COARSEGOLD","COARSEGOLD, CA"
NA,NA,"SAN ANDREAS","SAN ANDREAS, CA"
NA,NA,"ROLLING HILLS ESTATES","ROLLING HILLS ESTATES, CA"
NA,NA,"TEMPLETON","TEMPLETON, CA"
NA,NA,"KNEELAND","KNEELAND, CA"
NA,NA,"AZUSA","AZUSA, CA"
NA,NA,"VALLEY SPRINGS","VALLEY SPRINGS, CA"
NA,NA,"NEWARK","NEWARK, CA"
NA,NA,"RSF","RSF, CA"
NA,NA,"EXETER","EXETER, CA"
NA,NA,"ANGELS CAMP","ANGELS CAMP, CA"
NA,NA,"CHICO","CHICO, CA"
NA,NA,"OAKHURST","OAKHURST, CA"
NA,NA,"LOMPOC","LOMPOC, CA"
NA,NA,"MURRIETS","MURRIETS, CA"
NA,NA,"NEVADA CITY","NEVADA CITY, CA"
NA,NA,"NEWMN","NEWMN, CA"
NA,NA,"WILLITS","WILLITS, CA"
NA,NA,"MONTE RIO","MONTE RIO, CA"
NA,NA,"RIPON","RIPON, CA"
NA,NA,"MOSS LANDING","MOSS LANDING, CA"
NA,NA,"AGOURA HILLS","AGOURA HILLS, CA"
NA,NA,"VILLA PARK","VILLA PARK, CA"
NA,NA,"CLAYTON","CLAYTON, CA"
NA,NA,"CASTROVILLE","CASTROVILLE, CA"
NA,NA,"NORWALK","NORWALK, CA"
NA,NA,"PORTOLA","PORTOLA, CA"
NA,NA,"BERMUDA DUNES","BERMUDA DUNES, CA"
NA,NA,"BALBOA ISLAND","BALBOA ISLAND, CA"
NA,NA,"SANTA YNEZ","SANTA YNEZ, CA"
NA,NA,"RIO DELL","RIO DELL, CA"
NA,NA,"WINNETKA","WINNETKA, CA"
NA,NA,"HAYFORK","HAYFORK, CA"
NA,NA,"HALF MOON BAY","HALF MOON BAY, CA"
NA,NA,"SOUTH GATE","SOUTH GATE, CA"
NA,NA,"RESEDA","RESEDA, CA"
NA,NA,"SHASTA LAKE","SHASTA LAKE, CA"
NA,NA,"NORCO","NORCO, CA"
NA,NA,"RANCHO CORD A","RANCHO CORD A, CA"
NA,NA,"BRAWLEY","BRAWLEY, CA"
NA,NA,"KENTFIELD","KENTFIELD, CA"
NA,NA,"BEAR VALLEY","BEAR VALLEY, CA"
NA,NA,"WOODLAND","WOODLAND, CA"
NA,NA,"MORRO BAY","MORRO BAY, CA"
NA,NA,"RANCHO SANTA MARGARITA","RANCHO SANTA MARGARITA, CA"
NA,NA,"BREA","BREA, CA"
NA,NA,"PIXLEY","PIXLEY, CA"
NA,NA,"DEL MAR","DEL MAR, CA"
NA,NA,"EL MACERO","EL MACERO, CA"
NA,NA,"MADERA,","MADERA,, CA"
NA,NA,"N HOLLYWOOD","N HOLLYWOOD, CA"
NA,NA,"LOS OSOS","LOS OSOS, CA"
NA,NA,"ROLLING HILLS","ROLLING HILLS, CA"
NA,NA,"CARMEL  CA","CARMEL  CA, CA"
NA,NA,"IONE","IONE, CA"
NA,NA,"LOS BANOS","LOS BANOS, CA"
NA,NA,"DORRIS","DORRIS, CA"
NA,NA,"ROHNERT PARK","ROHNERT PARK, CA"
NA,NA,"WHITMORE","WHITMORE, CA"
NA,NA,"CAYUCOS","CAYUCOS, CA"
NA,NA,"DURHAM","DURHAM, CA"
NA,NA,"WRIGHTWOOD","WRIGHTWOOD, CA"
NA,NA,"SAN MARINO","SAN MARINO, CA"
NA,NA,"SAN LORENZO","SAN LORENZO, CA"
NA,NA,"MCKINLEYVILLE","MCKINLEYVILLE, CA"
NA,NA,"KINGSBURG","KINGSBURG, CA"
NA,NA,"COVELO","COVELO, CA"
NA,NA,"HOMELAND","HOMELAND, CA"
NA,NA,"OJAI","OJAI, CA"
NA,NA,"SHAFTER","SHAFTER, CA"
NA,NA,"PATTERSON","PATTERSON, CA"
NA,NA,"FPO  AP","FPO  AP, CA"
NA,NA,"HERMOSA BEACH","HERMOSA BEACH, CA"
NA,NA,"PACIFIC BEACH","PACIFIC BEACH, CA"
NA,NA,"GRIDLEY","GRIDLEY, CA"
NA,NA,"PLESANT HILL","PLESANT HILL, CA"
NA,NA,"RIO VISTA","RIO VISTA, CA"
NA,NA,"NORTH HIGHLANDS","NORTH HIGHLANDS, CA"
NA,NA,"WILLIAMS","WILLIAMS, CA"
NA,NA,"FOOTHILL RANCH","FOOTHILL RANCH, CA"
NA,NA,"PISMO BEACH","PISMO BEACH, CA"
NA,NA,"LOMA LINDA","LOMA LINDA, CA"
NA,NA,"CRESTON","CRESTON, CA"
NA,NA,"RANCHO MURIETA","RANCHO MURIETA, CA"
NA,NA,"TRAIN HARTE","TRAIN HARTE, CA"
NA,NA,"LA CANADA","LA CANADA, CA"
NA,NA,"LA CANADA FLT","LA CANADA FLT, CA"
NA,NA,"EL DORADO","EL DORADO, CA"
NA,NA,"EL CENTRO","EL CENTRO, CA"
NA,NA,"GARDEN GROVE","GARDEN GROVE, CA"
NA,NA,"STEVENSON RANCH","STEVENSON RANCH, CA"
NA,NA,"LAMIRADA","LAMIRADA, CA"
NA,NA,"BAY POINT","BAY POINT, CA"
NA,NA,"TEHACHAPI","TEHACHAPI, CA"
NA,NA,"VERNON","VERNON, CA"
NA,NA,"SAN MIGUEL","SAN MIGUEL, CA"
NA,NA,"GRASS VALLEY","GRASS VALLEY, CA"
NA,NA,"POLLOCK PINES","POLLOCK PINES, CA"
NA,NA,"HERRIMAN","HERRIMAN, CA"
NA,NA,"MIRA LOMA","MIRA LOMA, CA"
NA,NA,"RIO LINDA","RIO LINDA, CA"
NA,NA,"YUBA","YUBA, CA"
NA,NA,"JAMESTOWN","JAMESTOWN, CA"
NA,NA,"NORTH HILLS","NORTH HILLS, CA"
NA,NA,"MARIPOSA","MARIPOSA, CA"
NA,NA,"RIALTO","RIALTO, CA"
NA,NA,"ALTA LOMA","ALTA LOMA, CA"
NA,NA,"BORREGO SPRINGS","BORREGO SPRINGS, CA"
NA,NA,"CRESCENT MILLS","CRESCENT MILLS, CA"
NA,NA,"CARDIFF BY THE SEA","CARDIFF BY THE SEA, CA"
NA,NA,"LA HABRA HEIGHTS","LA HABRA HEIGHTS, CA"
NA,NA,"HAT CREEK","HAT CREEK, CA"
NA,NA,"APO","APO, CA"
NA,NA,"TRUCLEE","TRUCLEE, CA"
NA,NA,"MAMMOTH LAKES","MAMMOTH LAKES, CA"
NA,NA,"GALT","GALT, CA"
NA,NA,"DIXON","DIXON, CA"
NA,NA,"AUBERRY","AUBERRY, CA"
NA,NA,"CAPISTRANO BEACH,","CAPISTRANO BEACH,, CA"
NA,NA,"FOSTER CITY","FOSTER CITY, CA"
NA,NA,"JAMUL","JAMUL, CA"
NA,NA,"OAKDALE","OAKDALE, CA"
NA,NA,"JOHANNESBURG","JOHANNESBURG, CA"
NA,NA,"LARKSPUR","LARKSPUR, CA"
NA,NA,"IMPERIAL","IMPERIAL, CA"
NA,NA,"PORTERVILLE","PORTERVILLE, CA"
NA,NA,"TRABUCO","TRABUCO, CA"
NA,NA,"ETNA","ETNA, CA"
NA,NA,"CORNING","CORNING, CA"
NA,NA,"COMPTON","COMPTON, CA"
NA,NA,"ALTA","ALTA, CA"
NA,NA,"SMITH RIVER","SMITH RIVER, CA"
NA,NA,"NEW PORT BEACH","NEW PORT BEACH, CA"
NA,NA,"YUBA CITY.","YUBA CITY., CA"
NA,NA,"STRAWBERRY","STRAWBERRY, CA"
NA,NA,"PLAYA VISTA","PLAYA VISTA, CA"
NA,NA,"MOUNT AUKUM","MOUNT AUKUM, CA"
NA,NA,"BELVEDERE","BELVEDERE, CA"
NA,NA,"PANORAMA CITY","PANORAMA CITY, CA"
NA,NA,"BROWNSVILLE","BROWNSVILLE, CA"
NA,NA,"PALOS VERDES PMSL","PALOS VERDES PMSL, CA"
NA,NA,"IMPERIAL BEACH","IMPERIAL BEACH, CA"
NA,NA,"CARMEL VALLEY","CARMEL VALLEY, CA"
NA,NA,"BENLOMOND","BENLOMOND, CA"
NA,NA,"SUTTER","SUTTER, CA"
NA,NA,"MARTINEZ","MARTINEZ, CA"
NA,NA,"TRANQUILLITY","TRANQUILLITY, CA"
NA,NA,"LAKE ISABELLA","LAKE ISABELLA, CA"
NA,NA,"SUNSET BEACH","SUNSET BEACH, CA"
NA,NA,"GRAEAGLE","GRAEAGLE, CA"
NA,NA,"LA QUINTQ","LA QUINTQ, CA"
NA,NA,"CARSON","CARSON, CA"
NA,NA,"MI WUK VILLAGE","MI WUK VILLAGE, CA"
NA,NA,"APPLE BALLEY","APPLE BALLEY, CA"
NA,NA,"SANTA ROSS","SANTA ROSS, CA"
NA,NA,"PINOLE","PINOLE, CA"
NA,NA,"SOUTH EL MONTE","SOUTH EL MONTE, CA"
NA,NA,"BRISBANE","BRISBANE, CA"
NA,NA,"SOQUEL","SOQUEL, CA"
NA,NA,"CALISTOGA","CALISTOGA, CA"
NA,NA,"BAKERSFIEKD","BAKERSFIEKD, CA"
NA,NA,"CORTE MADERA","CORTE MADERA, CA"
NA,NA,"GLEN ELLEN","GLEN ELLEN, CA"
NA,NA,"PACOIMA","PACOIMA, CA"
NA,NA,"SUNNY ISLES BEACH","SUNNY ISLES BEACH, CA"
NA,NA,"ARBUCKLE","ARBUCKLE, CA"
NA,NA,"MAXWELL","MAXWELL, CA"
NA,NA,"LONG BRACH","LONG BRACH, CA"
NA,NA,"NEWCASTLE","NEWCASTLE, CA"
NA,NA,"CORONA DEL MAT","CORONA DEL MAT, CA"
NA,NA,"LOS ALTOS HILLS","LOS ALTOS HILLS, CA"
NA,NA,"SOUTH SAN FRANCISCO","SOUTH SAN FRANCISCO, CA"
NA,NA,"SAN PABLO","SAN PABLO, CA"
NA,NA,"MONTAGUE","MONTAGUE, CA"
NA,NA,"VENICE","VENICE, CA"
NA,NA,"LINDEN","LINDEN, CA"
NA,NA,"CORRAL DE TIERRA","CORRAL DE TIERRA, CA"
NA,NA,"CAMPO","CAMPO, CA"
NA,NA,"SANTA PAULA","SANTA PAULA, CA"
NA,NA,"LA SELVA BEACH","LA SELVA BEACH, CA"
NA,NA,"EMERYVILLE","EMERYVILLE, CA"
NA,NA,"STOCKTON CA","STOCKTON CA, CA"
NA,NA,"PALOMAR PARK","PALOMAR PARK, CA"
NA,NA,"SAN FRANCISCOCA","SAN FRANCISCOCA, CA"
NA,NA,"AGOURA","AGOURA, CA"
NA,NA,"MEADOW VISTA","MEADOW VISTA, CA"
NA,NA,"MONTECITO","MONTECITO, CA"
NA,NA,"CORCORAN","CORCORAN, CA"
NA,NA,"JOSHUA TREE","JOSHUA TREE, CA"
NA,NA,"LOOMIS","LOOMIS, CA"
NA,NA,"SAN QUENTIN","SAN QUENTIN, CA"
NA,NA,"ALPINE","ALPINE, CA"
NA,NA,"GRATON","GRATON, CA"
NA,NA,"LA SELVA VEACH","LA SELVA VEACH, CA"
NA,NA,"BELLFLOWER","BELLFLOWER, CA"
NA,NA,"GOSHEN","GOSHEN, CA"
NA,NA,"BEN LOMOND","BEN LOMOND, CA"
NA,NA,"AGUA DULCE","AGUA DULCE, CA"
NA,NA,"SQUAW VALLEY","SQUAW VALLEY, CA"
NA,NA,"LAKEPORT","LAKEPORT, CA"
NA,NA,"OAK HILLS","OAK HILLS, CA"
NA,NA,"BEAUMONT","BEAUMONT, CA"
NA,NA,"GREENBRAE","GREENBRAE, CA"
NA,NA,"REDWOOD VALLEY","REDWOOD VALLEY, CA"
NA,NA,"SEBASTOPOL","SEBASTOPOL, CA"
NA,NA,"RANCHO BELAGO","RANCHO BELAGO, CA"
NA,NA,"PT. RICHMOND","PT. RICHMOND, CA"
NA,NA,"MOUNTAIN CENTER","MOUNTAIN CENTER, CA"
NA,NA,"TOLUCA LAKE","TOLUCA LAKE, CA"
NA,NA,"MDR","MDR, CA"
NA,NA,"SUN VALLEY","SUN VALLEY, CA"
NA,NA,"CAMINO","CAMINO, CA"
NA,NA,"SAN JUAN BAUTISTA","SAN JUAN BAUTISTA, CA"
NA,NA,"DOVE CANYON","DOVE CANYON, CA"
NA,NA,"SUITE 110","SUITE 110, CA"
NA,NA,"CALEXICO","CALEXICO, CA"
NA,NA,"MOUNT HERMON","MOUNT HERMON, CA"
NA,NA,"SIERRA MADRE","SIERRA MADRE, CA"
NA,NA,"DIAMOND SPRINGS","DIAMOND SPRINGS, CA"
NA,NA,"PINON HILLS","PINON HILLS, CA"
NA,NA,"BLAIRSDEN","BLAIRSDEN, CA"
NA,NA,"LATON","LATON, CA"
NA,NA,"COALINGA","COALINGA, CA"
NA,NA,"BELVEDERE TIBURON","BELVEDERE TIBURON, CA"
NA,NA,"THREE RIVERS","THREE RIVERS, CA"
NA,NA,"MORONGO VALLEY","MORONGO VALLEY, CA"
NA,NA,"SELMA","SELMA, CA"
NA,NA,"LAKEWOOD CITY","LAKEWOOD CITY, CA"
NA,NA,"RANCHO SANTA MARG","RANCHO SANTA MARG, CA"
NA,NA,"MATHER","MATHER, CA"
NA,NA,"HOPLAND","HOPLAND, CA"
NA,NA,"BENICIA","BENICIA, CA"
NA,NA,"JULIAN","JULIAN, CA"
NA,NA,"HOLLYWOOD","HOLLYWOOD, CA"
NA,NA,"PENRYN","PENRYN, CA"
NA,NA,"INYOKERN","INYOKERN, CA"
NA,NA,"PALOS VERDES PENINSULA","PALOS VERDES PENINSULA, CA"
NA,NA,"FORBESTOWN","FORBESTOWN, CA"
NA,NA,"HIGHLAND ST","HIGHLAND ST, CA"
NA,NA,"SUSANVILLE","SUSANVILLE, CA"
NA,NA,"DIABLO","DIABLO, CA"
NA,NA,"PHELAN","PHELAN, CA"
NA,NA,"FILLMORE","FILLMORE, CA"
NA,NA,"COLUSA","COLUSA, CA"
NA,NA,"HELENDALE","HELENDALE, CA"
NA,NA,"KELSEYVILLE","KELSEYVILLE, CA"
NA,NA,"MOUNTAIN RANCH","MOUNTAIN RANCH, CA"
NA,NA,"SURFSIDE","SURFSIDE, CA"
NA,NA,"EL GRANADA","EL GRANADA, CA"
NA,NA,"NORTH FORK","NORTH FORK, CA"
NA,NA,"MINERAL","MINERAL, CA"
NA,NA,"SHINGLE SPGS","SHINGLE SPGS, CA"
NA,NA,"LAWNDALE","LAWNDALE, CA"
NA,NA,"PRINCETON","PRINCETON, CA"
NA,NA,"WILMINGTON","WILMINGTON, CA"
NA,NA,"LAHABRA","LAHABRA, CA"
NA,NA,"WOFFORD HEIGHTS","WOFFORD HEIGHTS, CA"
NA,NA,"SALNOMA","SALNOMA, CA"
NA,NA,"LEMON GROVE","LEMON GROVE, CA"
NA,NA,"OAK VIEW","OAK VIEW, CA"
NA,NA,"MARINA","MARINA, CA"
NA,NA,"ELVERTA","ELVERTA, CA"
NA,NA,"MONTEBELLO","MONTEBELLO, CA"
NA,NA,"LUCERNE VALLEY","LUCERNE VALLEY, CA"
NA,NA,"LAKE VIEW TERRACE","LAKE VIEW TERRACE, CA"
NA,NA,"S.D.","S.D., CA"
NA,NA,"FORESTVILLE","FORESTVILLE, CA"
NA,NA,"COPPEROPOLIS","COPPEROPOLIS, CA"
NA,NA,"SHINGLETOWN","SHINGLETOWN, CA"
NA,NA,"JACKSON","JACKSON, CA"
NA,NA,"EL DORADO HLS","EL DORADO HLS, CA"
NA,NA,"COMMERCE","COMMERCE, CA"
NA,NA,"MOMMOTH LAKES","MOMMOTH LAKES, CA"
NA,NA,"EL MONTE","EL MONTE, CA"
NA,NA,"CHERRY VALLEY","CHERRY VALLEY, CA"
NA,NA,"REEDLEY","REEDLEY, CA"
NA,NA,"CORONA DL MAR","CORONA DL MAR, CA"
NA,NA,"LOMITA","LOMITA, CA"
NA,NA,"WEST POINT","WEST POINT, CA"
NA,NA,"CAMP NELSON","CAMP NELSON, CA"
NA,NA,"HINKLEY","HINKLEY, CA"
NA,NA,"ADELANTO","ADELANTO, CA"
NA,NA,"RODEO","RODEO, CA"
NA,NA,"MCARTHUR","MCARTHUR, CA"
NA,NA,"LACRESCENTA","LACRESCENTA, CA"
NA,NA,"YETTEM","YETTEM, CA"
NA,NA,"LA CRESCENTA","LA CRESCENTA, CA"
NA,NA,"ROUGH AND READY","ROUGH AND READY, CA"
NA,NA,"DULZURA","DULZURA, CA"
NA,NA,"COBB","COBB, CA"
NA,NA,"LYTLE CREEK","LYTLE CREEK, CA"
NA,NA,"INDIO,","INDIO,, CA"
NA,NA,"YREKA","YREKA, CA"
NA,NA,"VALLECITO","VALLECITO, CA"
NA,NA,"LEWISTON","LEWISTON, CA"
NA,NA,"BASS LAKE","BASS LAKE, CA"
NA,NA,"LAVERNE","LAVERNE, CA"
NA,NA,"SAN JUAN CAPO","SAN JUAN CAPO, CA"
NA,NA,"LIVE OAK","LIVE OAK, CA"
NA,NA,"FRAZIER PARK","FRAZIER PARK, CA"
NA,NA,"RIVER PINES","RIVER PINES, CA"
NA,NA,"ROWLAND HEIGHTS","ROWLAND HEIGHTS, CA"
NA,NA,"BUELLTON","BUELLTON, CA"
NA,NA,"COLTON","COLTON, CA"
NA,NA,"SIGNAL HILL","SIGNAL HILL, CA"
NA,NA,"COURTLAND","COURTLAND, CA"
NA,NA,"REDWAY","REDWAY, CA"
NA,NA,"CALIENTE","CALIENTE, CA"
NA,NA,"ORLAND","ORLAND, CA"
NA,NA,"COTATI","COTATI, CA"
NA,NA,"CLEARLAKE","CLEARLAKE, CA"
NA,NA,"STRATHMORE","STRATHMORE, CA"
NA,NA,"PENNGROVE","PENNGROVE, CA"
NA,NA,"WOODLAKE","WOODLAKE, CA"
NA,NA,"BURNEY","BURNEY, CA"
NA,NA,"SOLEDAD","SOLEDAD, CA"
NA,NA,"WEST TOLUCA LAKE","WEST TOLUCA LAKE, CA"
NA,NA,"CARMEL BY THE SEA","CARMEL BY THE SEA, CA"
NA,NA,"GROVER BEACH","GROVER BEACH, CA"
NA,NA,"NUEVO","NUEVO, CA"
NA,NA,"RNCHO MURIETA","RNCHO MURIETA, CA"
NA,NA,"CARDIFF","CARDIFF, CA"
NA,NA,"CHUALAR","CHUALAR, CA"
NA,NA,"SMARTSVILLE","SMARTSVILLE, CA"
NA,NA,"MURPHYS","MURPHYS, CA"
NA,NA,"ARNOLD","ARNOLD, CA"
NA,NA,"MIDWAY CITY","MIDWAY CITY, CA"
NA,NA,"BIG BEAR CITY","BIG BEAR CITY, CA"
NA,NA,"ORO GRANDE","ORO GRANDE, CA"
NA,NA,"KLAMATH RIVER","KLAMATH RIVER, CA"
NA,NA,"MONTE SERENO","MONTE SERENO, CA"
NA,NA,"BROWNS VALLEY","BROWNS VALLEY, CA"
NA,NA,"KELSEY","KELSEY, CA"
NA,NA,"BOULEVARD","BOULEVARD, CA"
NA,NA,"ERVINE","ERVINE, CA"
NA,NA,"DUNLAP","DUNLAP, CA"
NA,NA,"ANGWIN","ANGWIN, CA"
NA,NA,"AROMAS","AROMAS, CA"
NA,NA,"RESCUE","RESCUE, CA"
NA,NA,"MARINA PENINSULA","MARINA PENINSULA, CA"
NA,NA,"OROSI","OROSI, CA"
NA,NA,"D","D, CA"
NA,NA,"CHOWCHILLA","CHOWCHILLA, CA"
NA,NA,"EMERALD HILLS","EMERALD HILLS, CA"
NA,NA,"MENTONE","MENTONE, CA"
NA,NA,"AQUA DULCE","AQUA DULCE, CA"
NA,NA,"S. F.","S. F., CA"
NA,NA,"LOWER LAKE","LOWER LAKE, CA"
NA,NA,"LAS VEGAS","LAS VEGAS, CA"
NA,NA,"COLEVILLE","COLEVILLE, CA"
NA,NA,"SUISUN CITY","SUISUN CITY, CA"
NA,NA,"OCEANO","OCEANO, CA"
NA,NA,"JANESVILLE","JANESVILLE, CA"
NA,NA,"VOLCANO","VOLCANO, CA"
NA,NA,"THOUSAND PALMS","THOUSAND PALMS, CA"
NA,NA,"WESTWOOD","WESTWOOD, CA"
NA,NA,"TULELAKE","TULELAKE, CA"
NA,NA,"AHWAHNEE","AHWAHNEE, CA"
NA,NA,"FORESTHILL","FORESTHILL, CA"
NA,NA,"SOMIS","SOMIS, CA"
NA,NA,"ROSAMOND","ROSAMOND, CA"
NA,NA,"BODFISH","BODFISH, CA"
NA,NA,"HIDDEN VALLEY LAKE","HIDDEN VALLEY LAKE, CA"
NA,NA,"BODEGA","BODEGA, CA"
NA,NA,"POSEY","POSEY, CA"
NA,NA,"ZENIA","ZENIA, CA"
NA,NA,"O'NEALS","O'NEALS, CA"
NA,NA,"VERDUGO CITY","VERDUGO CITY, CA"
NA,NA,"TRINIDAD","TRINIDAD, CA"
NA,NA,"LOA ALTOS","LOA ALTOS, CA"
NA,NA,"ARTESIA","ARTESIA, CA"
NA,NA,"AVALON","AVALON, CA"
NA,NA,"CLOVERDALE","CLOVERDALE, CA"
NA,NA,"LAHONDA","LAHONDA, CA"
NA,NA,"COLFAX","COLFAX, CA"
NA,NA,"LITTLEROCK","LITTLEROCK, CA"
NA,NA,"ROSS","ROSS, CA"
NA,NA,"LAKEHEAD","LAKEHEAD, CA"
NA,NA,"WASCO","WASCO, CA"
NA,NA,"COTTONWOOD","COTTONWOOD, CA"
NA,NA,"TOPANGA","TOPANGA, CA"
NA,NA,"BETHEL ISLAND","BETHEL ISLAND, CA"
NA,NA,"BRADLEY","BRADLEY, CA"
NA,NA,"LAKE SHERWOOD","LAKE SHERWOOD, CA"
NA,NA,"RAYMOND","RAYMOND, CA"
NA,NA,"STRATFORD","STRATFORD, CA"
NA,NA,"BLYTHE","BLYTHE, CA"
NA,NA,"CANBY","CANBY, CA"
NA,NA,"APPLEGATE","APPLEGATE, CA"
NA,NA,"CROCKETT","CROCKETT, CA"
NA,NA,"MILLBRAE","MILLBRAE, CA"
NA,NA,"BIG BAR","BIG BAR, CA"
NA,NA,"TUJUNGA","TUJUNGA, CA"
NA,NA,"LAKE ARROWHEAD","LAKE ARROWHEAD, CA"
NA,NA,"BADGER","BADGER, CA"
NA,NA,"MONTCLAIR","MONTCLAIR, CA"
NA,NA,"LAJOLLA","LAJOLLA, CA"
NA,NA,"ESLENDALE","ESLENDALE, CA"
NA,NA,"GRIZZLY FLATS","GRIZZLY FLATS, CA"
NA,NA,"SNELLING","SNELLING, CA"
NA,NA,"PT RICHMOND","PT RICHMOND, CA"
NA,NA,"ALISO VEIJO","ALISO VEIJO, CA"
NA,NA,"ALTURAS","ALTURAS, CA"
NA,NA,"LAQUINTA","LAQUINTA, CA"
NA,NA,"CDM","CDM, CA"
NA,NA,"PRATHER","PRATHER, CA"
NA,NA,"SUTTER CREEK","SUTTER CREEK, CA"
NA,NA,"WESTLAKE","WESTLAKE, CA"
NA,NA,"ESCOBDIDO","ESCOBDIDO, CA"
NA,NA,"GRENADA","GRENADA, CA"
NA,NA,"HERALD","HERALD, CA"
NA,NA,"WARNER SPRINGS","WARNER SPRINGS, CA"
NA,NA,"ARBOGA","ARBOGA, CA"
NA,NA,"SAN DIEGO,","SAN DIEGO,, CA"
NA,NA,"FULTON","FULTON, CA"
NA,NA,"LAKE BALBOA","LAKE BALBOA, CA"
NA,NA,"SN LUIS OBISP","SN LUIS OBISP, CA"
NA,NA,"WEED","WEED, CA"
NA,NA,"BERRY CREEK","BERRY CREEK, CA"
NA,NA,"NOROC","NOROC, CA"
NA,NA,"RUNNING SPRINGS","RUNNING SPRINGS, CA"
NA,NA,"HOMEWOOD","HOMEWOOD, CA"
NA,NA,"PLUMAS LAKE","PLUMAS LAKE, CA"
NA,NA,"PAUMA VALLEY","PAUMA VALLEY, CA"
NA,NA,"PASSDENA","PASSDENA, CA"
NA,NA,"MOSS BEACH","MOSS BEACH, CA"
