	id	title	original_air_date	production_code	season	number_in_season	number_in_series	us_viewers_in_millions	views	imdb_rating	imdb_votes	image_url	video_url
0	10	Homer's Night Out	1990-03-25	7G10	1	10	10	30.3	50816.0	7.4	1511.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/305/815/Simpsons_01_10.jpg	http://www.simpsonsworld.com/video/275197507879
1	12	Krusty Gets Busted	1990-04-29	7G12	1	12	12	30.4	62561.0	8.3	1716.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/245/843/Simpsons_01_12.jpg	http://www.simpsonsworld.com/video/288019523914
2	14	"Bart Gets an ""F"""	1990-10-11	7F03	2	1	14	33.6	59575.0	8.2	1638.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/bart_gets_F.jpg	http://www.simpsonsworld.com/video/260539459671
3	17	Two Cars in Every Garage and Three Eyes on Every Fish	1990-11-01	7F01	2	4	17	26.1	64959.0	8.1	1457.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/660/859/Simpsons_02_01.jpg	http://www.simpsonsworld.com/video/260537411822
4	19	Dead Putting Society	1990-11-15	7F08	2	6	19	25.4	50691.0	8.0	1366.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/Simpsons_02_08.jpg	http://www.simpsonsworld.com/video/260539459670
5	21	Bart the Daredevil	1990-12-06	7F06	2	8	21	26.2	57605.0	8.4	1522.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/Simpsons_02_06.jpg	http://www.simpsonsworld.com/video/260539459702
6	23	Bart Gets Hit by a Car	1991-01-10	7F10	2	10	23	24.8	56486.0	7.8	1340.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/673/547/bart_gets_hit_by_car.jpg	http://www.simpsonsworld.com/video/260550723760
7	26	Homer vs. Lisa and the 8th Commandment	1991-02-07	7F13	2	13	26	26.2	58277.0	8.0	1329.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/930/879/Simpsons_02_13.jpg	http://www.simpsonsworld.com/video/260820547692
8	28	Oh Brother, Where Art Thou?	1991-02-21	7F16	2	15	28	26.8	47426.0	8.2	1413.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/372/934/Simpsons_02_16.jpg	http://www.simpsonsworld.com/video/272046659561
9	30	Old Money	1991-03-28	7F17	2	17	30	21.2	44331.0	7.6	1243.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/418/939/old_money.jpg	http://www.simpsonsworld.com/video/263504963955
10	32	Lisa's Substitute	1991-04-25	7F19	2	19	32	17.7	52770.0	8.5	1684.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/238/11/Simpsons_02_19.jpg	http://www.simpsonsworld.com/video/288011331912
11	35	Blood Feud	1991-07-11	7F22	2	22	35	17.3	52829.0	8.0	1223.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/368/31/Simpsons_02_22.jpg	http://www.simpsonsworld.com/video/272041539932
12	37	Mr. Lisa Goes to Washington	1991-09-26	8F01	3	2	37	20.2	52098.0	7.7	1274.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/305/315/MrLisaGoestoWashington.jpg	http://www.simpsonsworld.com/video/275196995796
13	39	Bart the Murderer	1991-10-10	8F03	3	4	39	20.8	64342.0	8.7	1446.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/241/939/BarttheMurderer.jpg	http://www.simpsonsworld.com/video/288015427922
14	41	Like Father, Like Clown	1991-10-24	8F05	3	6	41	20.2	45586.0	7.7	1262.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/239/191/Simpsons_03_07.jpg	http://www.simpsonsworld.com/video/256874051703
15	44	Saturdays of Thunder	1991-11-14	8F07	3	9	44	24.7	55808.0	7.9	1194.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/262/139/SaturdaysofThunder.jpg	http://www.simpsonsworld.com/video/256898115598
16	46	Burns Verkaufen der Kraftwerk	1991-12-05	8F09	3	11	46	21.1	55987.0	8.2	1291.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/66/542/BURNS_DE_KRAFTWERK.jpg	http://www.simpsonsworld.com/video/310380099512
17	48	Radio Bart	1992-01-09	8F11	3	13	48	24.2	58919.0	8.5	1365.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/378/791/RadioBart.jpg	http://www.simpsonsworld.com/video/272052803895
18	51	Bart the Lover	1992-02-13	8F16	3	16	51	20.5	53123.0	8.3	1272.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/546/759/BarttheLover.jpg	http://www.simpsonsworld.com/video/272228931984
19	53	Separate Vocations	1992-02-27	8F15	3	18	53	23.7	61508.0	8.2	1201.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/426/747/SeparateVocations.jpg	http://www.simpsonsworld.com/video/263513155607
20	55	Colonel Homer	1992-03-26	8F19	3	20	55	25.5	46901.0	7.9	1233.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/534/47/ColonelHomer.jpg	http://www.simpsonsworld.com/video/272215619762
21	58	Bart's Friend Falls in Love	1992-05-07	8F22	3	23	58	19.5	48058.0	7.8	1160.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/140/895/BartsFriendFallsInLove.jpg	http://www.simpsonsworld.com/video/280393283967
22	60	Kamp Krusty	1992-09-24	8F24	4	1	60	21.8	67081.0	8.4	1414.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/987/218/Simpsons_04_02.jpg	http://www.simpsonsworld.com/video/279133251579
23	65	Itchy & Scratchy: The Movie	1992-11-03	9F03	4	6	65	20.1	55740.0	8.2	1293.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/672/279/Simpsons_04_05.jpg	http://www.simpsonsworld.com/video/278803011830
24	69	Lisa's First Word	1992-12-03	9F08	4	10	69	28.6	62070.0	8.5	1350.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/252/675/Simpsons_04_10.jpg	http://www.simpsonsworld.com/video/288026691837
25	72	Selma's Choice	1993-01-21	9F11	4	13	72	24.5	56396.0	8.0	1153.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/72/899/Simpsons_04_13.jpg	http://www.simpsonsworld.com/video/310386755912
26	7	The Call of the Simpsons	1990-02-18	7G09	1	7	7	27.6	57793.0	7.9	1638.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/636/523/Simpsons_01_09__827207.jpg	http://www.simpsonsworld.com/video/273396803837
27	24	One Fish, Two Fish, Blowfish, Blue Fish	1991-01-24	7F12	2	11	24	24.2	50206.0	8.8	1687.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/671/595/Simpsons_02_11.jpg	http://www.simpsonsworld.com/video/260548675839
28	80	Marge in Chains	1993-05-06	9F20	4	21	80	17.3	68692.0	7.7	1080.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/32/119/Simpsons_04_22.jpg	http://www.simpsonsworld.com/video/299606595657
29	82	Homer's Barbershop Quartet	1993-09-30	9F21	5	1	82	19.9	58390.0	8.4	1416.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/698/755/Simpsons_05_01__100677.jpg	http://www.simpsonsworld.com/video/305674307809
30	84	Homer Goes to College	1993-10-14	1F02	5	3	84	18.1	64802.0	8.6	1476.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/146/751/Simpsons_05_04.jpg	http://www.simpsonsworld.com/video/280399427649
31	87	Marge on the Lam	1993-11-04	1F03	5	6	87	21.7	53490.0	8.0	1132.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/546/662/Simpsons_05_05.jpg	http://www.simpsonsworld.com/video/294777411510
32	89	Boy-Scoutz 'n the Hood	1993-11-18	1F06	5	8	89	20.1	83238.0	8.7	1270.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/280/1003/Simpsons_05_08.jpg	http://www.simpsonsworld.com/video/288056387698
33	92	Homer the Vigilante	1994-01-06	1F09	5	11	92	20.1	74673.0	8.2	1202.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/702/159/Simpsons_05_11.jpg	http://www.simpsonsworld.com/video/305677891810
34	93	Bart Gets Famous	1994-02-03	1F11	5	12	93	20.0	66267.0	8.1	1123.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/1019/279/Simpsons_05_13.jpg	http://www.simpsonsworld.com/video/302789187885
35	95	Lisa vs. Malibu Stacy	1994-02-17	1F12	5	14	95	20.5	61715.0	8.2	1187.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/435/771/Simpsons_05_14.jpg	http://www.simpsonsworld.com/video/274260035625
36	98	Bart Gets an Elephant	1994-03-31	1F15	5	17	98	17.0	63427.0	7.9	1116.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/810/195/Simpsons_05_17.jpg	http://www.simpsonsworld.com/video/275726403611
37	102	Lady Bouvier's Lover	1994-05-12	1F21	5	21	102	15.1	59503.0	7.5	1014.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/706/62/Simpsons_05_22.jpg	http://www.simpsonsworld.com/video/305681987583
38	104	Bart of Darkness	1994-09-04	1F22	6	1	104	15.1	65126.0	8.6	1330.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/265/950/Bart_Darnkess.jpg	http://www.simpsonsworld.com/video/300925507538
39	107	Itchy & Scratchy Land	1994-10-02	2F01	6	4	107	14.8	72722.0	8.5	1277.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/271/1022/Simpsons_06_03__786954.jpg	http://www.simpsonsworld.com/video/283752003577
40	111	Lisa on Ice	1994-11-13	2F05	6	8	111	17.9	63564.0	8.4	1236.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/829/238/Simpsons_06_07.jpg	http://www.simpsonsworld.com/video/275746371575
41	114	Fear of Flying	1994-12-18	2F08	6	11	114	15.6	61569.0	7.8	1100.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/708/514/Simpsons_06_10.jpg	http://www.simpsonsworld.com/video/305684547546
42	116	And Maggie Makes Three	1995-01-22	2F10	6	13	116	17.3	63051.0	8.5	1284.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/666/423/Simpsons_06_12.jpg	http://www.simpsonsworld.com/video/278796867754
43	118	Homie the Clown	1995-02-12	2F12	6	15	118	17.6	73123.0	8.5	1254.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/526/207/Simpsons_06_14.jpg	http://www.simpsonsworld.com/video/279723587611
44	120	Homer vs. Patty and Selma	1995-02-26	2F14	6	17	120	18.9	60599.0	7.9	1006.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/709/990/Simpsons_06_16.jpg	http://www.simpsonsworld.com/video/305686083529
45	123	Two Dozen and One Greyhounds	1995-04-09	2F18	6	20	123	11.6	62323.0	8.1	1051.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/676/183/Simpsons_06_19.jpg	http://www.simpsonsworld.com/video/278807107855
46	125	'Round Springfield	1995-04-30	2F32	6	22	125	12.6	56001.0	8.3	1084.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/838/23/Simpsons_06_24__681923.jpg	http://www.simpsonsworld.com/video/275755587777
47	127	Lemon of Troy	1995-05-14	2F22	6	24	127	13.1	70698.0	8.6	1285.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/445/31/Simpsons_06_22__554399.jpg	http://www.simpsonsworld.com/video/274269763684
48	130	Radioactive Man	1995-09-24	2F17	7	2	130	15.7	62390.0	8.3	1172.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/716/823/Simpsons_07_01.jpg	http://www.simpsonsworld.com/video/305693251940
49	132	Bart Sells His Soul	1995-10-08	3F02	7	4	132	14.8	65333.0	8.7	1354.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/974/183/Simpsons_07_04.jpg	http://www.simpsonsworld.com/video/276972099995
50	134	Treehouse of Horror VI	1995-10-29	3F04	7	6	134	19.7	110342.0	8.5	1304.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/89/491/Simpsons_07_06.jpg	http://www.simpsonsworld.com/video/310404163601
51	139	Marge Be Not Proud	1995-12-17	3F07	7	11	139	16.7	68970.0	8.3	1146.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/694/351/Simpsons_07_09.jpg	http://www.simpsonsworld.com/video/305669699710
52	140	Team Homer	1996-01-07	3F10	7	12	140	16.7	72268.0	8.3	1064.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/1022/707/Simpsons_07_12.jpg	http://www.simpsonsworld.com/video/302792771967
53	143	Bart the Fink	1996-02-11	3F12	7	15	143	15.0	71230.0	7.7	954.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/667/303/Simpsons_07_14.jpg	http://www.simpsonsworld.com/video/301346371709
54	67	New Kid on the Block	1992-11-12	9F06	4	8	67	23.1	54557.0	8.2	1240.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/775/187/Simpsons_04_08.jpg	http://www.simpsonsworld.com/video/273542211871
55	149	22 Short Films About Springfield	1996-04-14	3F18	7	21	149	10.5	66536.0	8.8	1393.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/14/551/Simpsons_07_20.jpg	http://www.simpsonsworld.com/video/299588163608
56	151	Much Apu About Nothing	1996-05-05	3F20	7	23	151	11.3	75618.0	8.0	995.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/89/991/Simpsons_07_22.jpg	http://www.simpsonsworld.com/video/310404675978
57	153	Summer of 4 Ft. 2	1996-05-19	3F22	7	25	153	14.7	65847.0	8.3	1119.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/1013/746/Simpsons_07_24.jpg	http://www.simpsonsworld.com/video/277013571573
58	157	Burns, Baby Burns	1996-11-17	4F05	8	4	157	12.6	55497.0	7.7	1079.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/47/258/Simpsons_08_09.jpg	http://www.simpsonsworld.com/video/299622467514
60	163	The Springfield Files	1997-01-12	3G01	8	10	163	20.9	69555.0	9.0	1793.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/306/391/Simpsons_08_03__677111.jpg	http://www.simpsonsworld.com/video/436259395954
61	164	The Twisted World of Marge Simpson	1997-01-19	4F08	8	11	164	14.0	71813.0	7.8	998.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/311/271/Simpsons_08_12.jpg	http://www.simpsonsworld.com/video/436264515927
62	167	The Itchy & Scratchy & Poochie Show	1997-02-09	4F12	8	14	167	15.5	58581.0	7.9	1079.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/324/459/Simpsons_08_16.jpg	http://www.simpsonsworld.com/video/436278339668
63	168	Homer's Phobia	1997-02-16	4F11	8	15	168	15.3	63355.0	8.9	1666.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/330/815/Simpsons_08_15.jpg	http://www.simpsonsworld.com/video/436284995621
64	171	Homer vs. the Eighteenth Amendment	1997-03-16	4F15	8	18	171	14.6	83561.0	8.7	1330.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/443/103/Simpsons_08_19.jpg	http://www.simpsonsworld.com/video/436402755605
66	175	In Marge We Trust	1997-04-27	4F18	8	22	175	16.9	59088.0	8.0	973.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/477/287/Simpsons_08_22__537898.jpg	http://www.simpsonsworld.com/video/436438595644
67	178	The Secret War of Lisa Simpson	1997-05-18	4F21	8	25	178	12.7	59196.0	7.8	967.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/530/1014/Simpsons_08_25__334287.jpg	http://www.simpsonsworld.com/video/436494915559
68	180	The Principal and the Pauper	1997-09-28	4F23	9	2	180	14.9	48414.0	7.4	1158.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/540/775/Simpsons_09_04.jpg	http://www.simpsonsworld.com/video/436505155662
69	184	Bart Star	1997-11-09	5F03	9	6	184	10.6	31033.0	7.7	925.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/518/967/Simpsons_09_08.jpg	http://www.simpsonsworld.com/video/448293443714
70	186	Lisa the Skeptic	1997-11-23	5F05	9	8	186	9.3	22318.0	8.0	978.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/8/138/Simpsons_09_10.jpg	http://www.simpsonsworld.com/video/279180355540
71	189	All Singing, All Dancing	1998-01-04	5F24	9	11	189	8.9	15780.0	5.1	1119.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/575/966/Simpsons_09_25.jpg	http://www.simpsonsworld.com/video/294808131518
72	191	The Joy of Sect	1998-02-08	5F23	9	13	191	9.4	27710.0	8.2	1042.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/51/663/Simpsons_09_24.jpg	http://www.simpsonsworld.com/video/299627075941
73	196	This Little Wiggy	1998-03-22	5F13	9	18	196	8.9	20739.0	7.8	906.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/63/875/Simpsons_09_18.jpg	http://www.simpsonsworld.com/video/299639875678
74	198	The Trouble with Trillions	1998-04-05	5F14	9	20	198	7.4	23426.0	7.9	949.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/68/255/Simpsons_09_19.jpg	http://www.simpsonsworld.com/video/299644483816
75	200	Trash of the Titans	1998-04-26	5F09	9	22	200	10.2	26299.0	8.5	1108.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/12/67/Simpsons_09_14.jpg	http://www.simpsonsworld.com/video/307101763818
76	203	Natural Born Kissers	1998-05-17	5F18	9	25	203	8.6	53823.0	8.1	931.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/499/55/Simpsons_09_23.jpg	http://www.simpsonsworld.com/video/467599939876
108	70	Homer's Triple Bypass	1992-12-17	9F09	4	11	70	23.6	57400.0	8.7	1445.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/781/42/Simpsons_04_11.jpg	http://www.simpsonsworld.com/video/273548355538
135	75	Duffless	1993-02-18	9F14	4	16	75	25.7	84874.0	8.3	1209.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/214/847/Simpsons_04_16_Duffless.jpg	http://www.simpsonsworld.com/video/277249603926
162	77	So It's Come to This: A Simpsons Clip Show	1993-04-01	9F17	4	18	77	25.5	49139.0	7.2	1105.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/695/327/Simpsons_04_19.jpg	http://www.simpsonsworld.com/video/305670723781
190	91	$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)	1993-12-16	1F08	5	10	91	17.9	82216.0	8.5	1274.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/684/590/Simpsons_05_10.jpg	http://www.simpsonsworld.com/video/305659459565
217	9	Life on the Fast Lane	1990-03-18	7G11	1	9	9	33.5	64776.0	7.5	1578.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/132/587/Simpsons_01_11.jpg	http://www.simpsonsworld.com/video/280384579592
218	11	The Crepes of Wrath	1990-04-15	7G13	1	11	11	31.2	60458.0	7.8	1539.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/350/31/Simpsons_01_13.jpg	http://www.simpsonsworld.com/video/306382403766
219	13	Some Enchanted Evening	1990-05-13	7G01	1	13	13	27.1	57590.0	7.9	1567.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/669/155/Simpsons_01_01.jpg	http://www.simpsonsworld.com/video/274504771647
220	15	Simpson and Delilah	1990-10-18	7F02	2	2	15	29.9	58553.0	8.3	1588.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/663/286/Simpsons_02_02.jpg	http://www.simpsonsworld.com/video/260539971564
221	16	Treehouse of Horror	1990-10-25	7F04	2	3	16	27.4	130282.0	8.2	1786.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/661/835/Simpsons_02_04.jpg	http://www.simpsonsworld.com/video/260538435884
222	18	Dancin' Homer	1990-11-08	7F05	2	5	18	26.1	49005.0	7.5	1381.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/661/835/Simpsons_02_05.jpg	http://www.simpsonsworld.com/video/260538435888
223	20	Bart vs. Thanksgiving	1990-11-22	7F07	2	7	20	25.9	47539.0	7.7	1324.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/Simpsons_02_07.jpg	http://www.simpsonsworld.com/video/260539459701
224	22	Itchy & Scratchy & Marge	1990-12-20	7F09	2	9	22	22.2	55413.0	8.1	1402.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/661/835/Simpsons_02_09.jpg	http://www.simpsonsworld.com/video/260538435885
225	25	The Way We Was	1991-01-31	7F11	2	12	25	26.8	51182.0	8.2	1392.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/672/71/Simpsons_02_12__377251.jpg	http://www.simpsonsworld.com/video/260549187876
226	27	Principal Charming	1991-02-14	7F15	2	14	27	23.9	46823.0	7.5	1241.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/411/107/Simpsons_02_15.jpg	http://www.simpsonsworld.com/video/263496771968
227	29	"Bart's Dog Gets an ""F"""	1991-03-07	7F14	2	16	29	23.9	47780.0	7.5	1264.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/361/699/bart.jpg	http://www.simpsonsworld.com/video/272034883946
228	33	The War of the Simpsons	1991-05-02	7F20	2	20	33	19.7	51997.0	7.9	1246.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/366/579/the_war_of_simpsons.jpg	http://www.simpsonsworld.com/video/272040003661
241	1	Simpsons Roasting on an Open Fire	1989-12-17	7G08	1	1	1	26.7	171408.0	8.2	3734.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/617/479/Simpsons_01_08.jpg	http://www.simpsonsworld.com/video/273376835817
242	2	Bart the Genius	1990-01-14	7G02	1	2	2	24.5	91423.0	7.8	1973.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/265/167/Simpsons_01_02.jpg	http://www.simpsonsworld.com/video/283744835990
243	4	There's No Disgrace Like Home	1990-01-28	7G04	1	4	4	20.2	67378.0	7.8	1701.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/632/119/Simpsons_01_04__343617.jpg	http://www.simpsonsworld.com/video/273392195780
244	6	Moaning Lisa	1990-02-11	7G06	1	6	6	27.4	55355.0	7.6	1674.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/631/642/Simpsons_01_06.jpg	http://www.simpsonsworld.com/video/273391683535
245	8	The Telltale Head	1990-02-25	7G07	1	8	8	28.0	66311.0	7.7	1580.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/688/495/Simpsons_01_07__906920.jpg	http://www.simpsonsworld.com/video/305663555641
246	34	Three Men and a Comic Book	1991-05-09	7F21	2	21	34	21.0	50403.0	8.4	1379.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/55/807/Simpsons_02_21.jpg	http://www.simpsonsworld.com/video/310368835964
247	36	Stark Raving Dad	1991-09-19	7F24	3	1	36	22.9	55238.0	8.6	1798.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/551/639/Simpsons_03_02.jpg	http://www.simpsonsworld.com/video/272234051980
248	38	When Flanders Failed	1991-10-03	7F23	3	3	38	22.8	53499.0	8.2	1302.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/377/314/WhenFlandersFailed.jpg	http://www.simpsonsworld.com/video/272051267562
249	40	Homer Defined	1991-10-17	8F04	3	5	40	20.6	50601.0	8.5	1452.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/210/387/HomerDefined.jpg	http://www.simpsonsworld.com/video/256843843704
